   "t"	"air_fuel_ratio"	"speed"	"map"	"ego"	"throttle"	"fuel"
   6.2000000000000002e+00	   1.2037619726866669e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999874864920e-01	   1.9000000000000000e+01	   1.9870247840881348e+00
   6.2100000000000000e+00	   1.2028450760089571e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999883715229e-01	   1.8949999999999999e+01	   1.9856412410736084e+00
   6.2199999999999998e+00	   1.2019499856370579e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999891750924e-01	   1.8900000000000002e+01	   1.9842545986175537e+00
   6.2300000000000004e+00	   1.2010757692751682e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999899062897e-01	   1.8849999999999998e+01	   1.9828653335571289e+00
   6.2400000000000002e+00	   1.2002215095575151e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999905730586e-01	   1.8799999999999997e+01	   1.9814739227294922e+00
   6.2500000000000000e+00	   1.1993863033399101e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999911823512e-01	   1.8750000000000000e+01	   1.9800802469253540e+00
   6.2599999999999998e+00	   1.1985692714987543e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999917402638e-01	   1.8700000000000003e+01	   1.9786844253540039e+00
   6.2700000000000005e+00	   1.1977695539058146e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999922521510e-01	   1.8649999999999999e+01	   1.9772866964340210e+00
   6.2800000000000002e+00	   1.1969863066538027e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999927227323e-01	   1.8599999999999998e+01	   1.9758871793746948e+00
   6.2900000000000000e+00	   1.1962187035517744e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999931561723e-01	   1.8550000000000001e+01	   1.9744856357574463e+00
   6.2999999999999998e+00	   1.1954659417705779e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999935561501e-01	   1.8500000000000000e+01	   1.9730824232101440e+00
   6.3100000000000005e+00	   1.1947272306233277e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999939259276e-01	   1.8449999999999996e+01	   1.9716773033142090e+00
   6.3200000000000003e+00	   1.1940018015670052e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999942683981e-01	   1.8399999999999999e+01	   1.9702702760696411e+00
   6.3300000000000001e+00	   1.1932889032919920e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999945861351e-01	   1.8350000000000001e+01	   1.9688614606857300e+00
